focal_reach,stream_order,Year_2015,Year_2016,Year_2018,Year_2021
4851,3,0,0,0,0
4852,3,0,0,0,0
4868,3,0,0,0,0
4875,3,0,0,0,0
4878,3,0,0,0,0
4879,3,0,0,0,0
4886,3,0,0,0,0
4887,3,0,0,0,0
4892,3,0,0,0,0
4893,3,0,0,0,0
4898,3,0,0,0,0
4902,3,0,0,0,0
4906,3,0,0,0,0
4907,3,0,0,0,0
4911,3,0,0,0,0
4912,3,0,0,0,0
4920,3,0,0,0,0
4923,3,0,0,0,0
4924,3,0,0,0,0
4925,3,0,0,0,0
4926,3,0,0,0,0
4928,3,0,0,0,0
4929,3,0,0,0,0
4937,3,0,0,0,0
4938,3,0,0,0,0
4944,3,0,0,0,0
4947,3,0,0,0,0
4948,3,0,0,0,0
4950,3,0,0,0,0
4955,3,0,0,0,0
4961,3,0,0,0,0
4963,3,0,0,0,0
4971,3,0,0,0,0
4973,3,0,0,0,0
4974,3,0,0,0,0
4977,3,0,0,0,0
4980,3,0,0,0,0
4986,3,0,0,0,0
4989,3,0,0,0,0
4990,3,0,0,0,0
4997,3,0,0,0,0
4999,3,0,0,0,0
5004,3,0,0,0,0
5014,3,0,0,0,0
5016,3,0,0,0,0
5029,3,0,0,0,0
5035,3,0,0,0,0
5037,3,0,0,0,0
5038,3,0,0,0,0
5044,3,0,0,0,0
5047,3,0,0,0,0
5051,3,0,0,0,0
5057,3,0,0,0,0
5060,3,0,0,0,0
5064,3,0,0,0,0
5067,3,0,0,0,0
5071,3,0,0,0,0
5078,3,0,0,0,0
5084,3,0,0,0,0
5088,3,0,0,0,0
5092,3,0,0,0,0
5095,3,0,0,0,0
5097,3,0,0,0,0
5100,3,0,0,0,0
5107,3,0,0,0,0
5110,3,0,0,0,0
5114,3,0,0,0,0
5124,3,0,0,0,0
5125,3,0,0,0,0
5126,3,0,0,0,0
5135,3,0,0,0,0
5136,3,0,0,0,0
