"basin","reachid","stream_order","observed_cv","n_years"
"Yukon",1086,5,0.261547317332769,4
"Yukon",1091,4,0.301368792935227,4
"Yukon",1097,4,0.458346551527909,4
"Yukon",1099,4,0.322276911286639,4
"Yukon",1108,4,0.307733597297545,4
"Yukon",1111,5,0.293092940966458,4
"Yukon",1112,7,0.260189639714277,4
"Yukon",1119,4,0.292041585140673,4
"Yukon",1120,4,0.493109059226327,4
"Yukon",1124,4,0.289847248105689,4
"Yukon",1150,4,0.522109416455525,4
"Yukon",1165,5,0.465785618642926,4
"Yukon",1173,4,0.290633570665443,4
"Yukon",1181,5,0.310752467727735,4
"Yukon",1185,4,0.443737737549807,4
"Yukon",1186,4,0.318894773133583,4
"Yukon",1190,4,0.535397618297929,4
"Yukon",1194,4,0.263818878881781,4
"Yukon",1215,4,0.285260917833782,4
"Yukon",1222,4,0.310569337752188,4
"Yukon",1232,4,0.287340155761388,4
"Yukon",1237,4,0.309469599591558,4
