"basin","reachid","stream_order","year_earlier","year_later","upstream_length_km","length_bin","mean_catchment_share","pct_change"
"Yukon",12952,6,2016,2018,572.085648493767,8,0.00284290053595209,4.70973884475124
"Yukon",12963,4,2016,2018,54.144655802403,5,0.000117038556679292,-26.502319589155
"Yukon",12964,4,2016,2018,21.4648531026416,4,0.000131255498345374,14.6169447943585
"Yukon",12967,4,2016,2018,16.4052572334441,4,5.03929974238677e-06,-8.05246565385295
"Yukon",12968,4,2016,2018,98.3135557330597,6,0.000159993096332874,-74.4901517313898
"Yukon",12969,5,2016,2018,84.3233178025365,6,0.000371335625126082,15.4849348880408
"Yukon",12976,4,2016,2018,18.0606965959567,4,0.000209576734692421,16.5639758815252
"Yukon",12977,4,2016,2018,28.837853403261,4,6.31541100266668e-05,-5.41632560537884
"Yukon",12978,5,2016,2018,64.1230056948112,5,0.000212013579231242,8.16798932219778
"Yukon",12979,4,2016,2018,98.1382093280992,6,0.000416569063656562,-0.805682940707964
"Yukon",12980,4,2016,2018,37.1043262394757,5,4.30426233363906e-06,52.31062034703
"Yukon",12981,4,2016,2018,2.14112699486324,1,8.06156400693345e-05,23.3842670185656
"Yukon",12982,5,2016,2018,187.080459118887,7,0.000458228722047075,-27.6215080182739
"Yukon",12983,4,2016,2018,104.140716876872,6,0.000181262679523928,-48.6913181563753
"Yukon",12985,4,2016,2018,36.9157411155857,5,6.31541100266668e-05,-5.41632560537884
"Yukon",12986,5,2016,2018,158.07310224174,6,0.00112783511240007,22.3576028031384
"Yukon",12988,4,2016,2018,20.6773686058635,4,6.31541100266668e-05,-5.41632560537884
"Yukon",12989,6,2016,2018,665.901066255328,8,0.00477184957461147,16.9890400848778
"Yukon",12994,4,2016,2018,21.6871547467367,4,8.15188530019069e-05,-25.6290764144986
"Yukon",12995,4,2016,2018,11.035585278491,3,0.000162128090303281,23.0606933489512
"Yukon",12998,6,2016,2018,255.435501443862,7,0.000250212602929567,-54.6163353748975
"Yukon",12999,9,2016,2018,122418.479575061,14,0.659753478017031,4.78436602529064
"Yukon",13000,9,2016,2018,122404.615627615,14,0.659713079801918,4.78416173239556
"Yukon",13001,4,2016,2018,16.1868512442207,4,6.31541100266668e-05,-5.41632560537884
"Yukon",13003,5,2016,2018,302.952957770809,7,0.00252735384314572,15.7185410331207
"Yukon",13004,4,2016,2018,112.718895079818,6,0.000419223230765163,-33.2819914686311
"Yukon",13005,5,2016,2018,127.654167342866,6,0.000357912905998611,-29.934027345982
"Yukon",13006,4,2016,2018,35.3288201929357,5,0.000314899315336224,16.6681540432988
"Yukon",13008,5,2016,2018,131.303569340569,6,7.03351740188811e-05,-109.553302033045
"Yukon",13009,6,2016,2018,674.231199578787,8,0.00485105693481618,17.0541390294962
"Yukon",13010,4,2016,2018,125.880291037143,6,0.00020902163107525,-74.943059091394
"Yukon",13012,9,2016,2018,122094.051188189,14,0.659154644728571,4.81548154877528
"Yukon",13013,5,2016,2018,232.551640096592,7,0.00151425003870501,11.3691459194797
"Yukon",13014,9,2016,2018,57559.6817461016,13,0.44603773054142,21.8029770566079
"Yukon",13016,5,2016,2018,165.470511879758,6,0.000524790776142919,-58.1086028318003
"Yukon",13020,4,2016,2018,22.258838225918,4,0.000105171794656504,34.080077494296
"Yukon",13022,4,2016,2018,33.929144137854,5,8.52522435517085e-05,-27.0808363380336
"Yukon",13023,6,2016,2018,557.263219430416,8,0.00278672724175621,4.90357496361489
"Yukon",13024,4,2016,2018,48.8949795376915,5,8.76163254286798e-05,-26.854520650615
"Yukon",13027,4,2016,2018,153.88009220204,6,0.00238548338086496,20.5929406231527
"Yukon",13029,4,2016,2018,125.000797542425,6,0.00208275856542014,20.3977923004801
"Yukon",13032,9,2016,2018,122118.760294658,14,0.659195799119083,4.81562817040398
"Yukon",13033,5,2016,2018,171.896351096704,6,5.08108948899412e-05,-42.3440888888256
"Yukon",13036,5,2016,2018,63.0510843230866,5,0.000277063292460601,-48.0770670131081
"Yukon",13038,5,2016,2018,140.914547468143,6,0.00105012926800734,22.4789178908009
"Yukon",13040,4,2016,2018,15.2075470167476,4,7.28923881886022e-05,48.6570281940897
"Yukon",13045,6,2016,2018,373.178181451593,7,0.000567257113564015,15.5595480260154
"Yukon",13046,9,2016,2018,122489.353809765,14,0.660313780495475,4.77301524637863
"Yukon",13050,4,2016,2018,158.302630007761,6,0.000257917561430777,-74.5493162135966
"Yukon",13051,4,2016,2018,12.5712735116986,3,5.39949882047442e-05,-25.1027078403822
"Yukon",13053,5,2016,2018,290.31453469728,7,0.00197601937742319,9.97324434640007
"Yukon",13054,4,2016,2018,25.7063227097055,4,7.94770525990777e-05,-40.609765819524
"Yukon",13055,4,2016,2018,34.0525528107075,5,5.92427525207858e-05,-27.2993820731819
"Yukon",13058,6,2016,2018,357.211948389381,7,0.000720012312907229,-26.3645014329409
"Yukon",13073,7,2016,2018,2660.45998913673,10,0.00782658569791624,-20.2957535045935
"Yukon",13074,8,2016,2018,19722.7397251501,12,0.0601643704191665,-35.9763805572326
"Yukon",13075,5,2016,2018,116.775750978495,6,0.000498355296965461,13.7914700506265
"Yukon",13082,6,2016,2018,335.771675818353,7,0.000543204963615815,14.0068827473869
"Yukon",13085,4,2016,2018,8.69465704509964,3,2.78851823960064e-05,-26.7407287435205
"Yukon",13086,9,2016,2018,122479.08313549,14,0.660313780495475,4.77301524637863
"Yukon",13088,4,2016,2018,165.190877149476,6,2.3972839114301e-05,-18.1552662722573
"Yukon",13089,4,2016,2018,93.9887049778236,6,0.000371223862382058,-33.58643872817
"Yukon",13095,4,2016,2018,34.8842509255355,5,4.45193191353659e-05,-31.2849849473058
"Yukon",13097,5,2016,2018,949.771461652373,8,0.00217941157917222,-46.9211374839587
"Yukon",13100,4,2016,2018,19.4331360706302,4,7.89731775760011e-05,6.14743815091409
"Yukon",13103,5,2016,2018,109.520568796174,6,0.000230580051646702,-26.9298887191898
"Yukon",13105,5,2016,2018,113.282051307885,6,0.000601502109249622,-54.7722188602971
"Yukon",13106,4,2016,2018,10.6989715307286,3,2.44226051534337e-05,-22.1421000626164
"Yukon",13107,5,2016,2018,169.717724236488,6,0.000958509997226092,10.1370581745993
"Yukon",13111,5,2016,2018,157.178800136432,6,0.000890773675719201,10.7262048572194
"Yukon",13113,6,2016,2018,349.299572047408,7,0.000698189626861409,-26.4295094379948
