"basin","stream_order","reachid","absolute_cv","basin_cv","cv_ratio_to_basin","anomaly_pct"
"Kuskokwim",3,3618,0.254576199942852,0.244254784482295,1.04225675858278,4.22567585827793
"Kuskokwim",3,3690,0.452399227387457,0.244254784482295,1.85216116992889,85.2161169928894
"Kuskokwim",3,3786,0.393077389148025,0.244254784482295,1.6092924852267,60.9292485226702
"Kuskokwim",3,3828,0.272022339121728,0.244254784482295,1.11368274606488,11.3682746064882
"Kuskokwim",3,3943,0.214463553717891,0.244254784482295,0.87803215061868,-12.196784938132
"Kuskokwim",3,4038,0.254379327271598,0.244254784482295,1.04145074501104,4.14507450110435
"Kuskokwim",3,4085,0.255458395413861,0.244254784482295,1.0458685423719,4.58685423719023
"Kuskokwim",3,4155,0.190454606598806,0.244254784482295,0.779737465542302,-22.0262534457698
"Kuskokwim",3,4172,0.255927026337137,0.244254784482295,1.04778715749451,4.7787157494505
"Kuskokwim",3,4289,0.26288837347113,0.244254784482295,1.07628750866981,7.62875086698076
"Kuskokwim",3,4561,0.265258232862079,0.244254784482295,1.08598991591629,8.59899159162898
"Kuskokwim",3,4688,0.26540186038606,0.244254784482295,1.08657793929641,8.65779392964079
"Kuskokwim",3,4870,0.24496386106341,0.244254784482295,1.002903020232,0.290302023200328
"Kuskokwim",3,4969,0.179676997120348,0.244254784482295,0.735613009592334,-26.4386990407666
"Kuskokwim",3,5100,0.274976839176968,0.244254784482295,1.12577872224608,12.5778722246076
"Kuskokwim",3,5123,0.247638626005175,0.244254784482295,1.01385373690858,1.38537369085832
"Kuskokwim",3,5157,0.265346174681445,0.244254784482295,1.08634995725408,8.634995725408
"Kuskokwim",3,5219,0.252009868009127,0.244254784482295,1.03174997592481,3.17499759248081
"Kuskokwim",3,5312,0.274936471808892,0.244254784482295,1.12561345478504,12.5613454785043
"Kuskokwim",3,5315,0.200326112298855,0.244254784482295,0.820152255045699,-17.9847744954301
"Kuskokwim",3,5332,0.187030413490563,0.244254784482295,0.76571852578847,-23.428147421153
"Kuskokwim",3,5353,0.265209578663368,0.244254784482295,1.08579072146115,8.57907214611469
"Kuskokwim",3,5384,0.274002258331857,0.244254784482295,1.12178870482563,12.1788704825632
"Kuskokwim",3,5440,0.197938570893308,0.244254784482295,0.810377456117572,-18.9622543882428
"Kuskokwim",3,5471,0.17443188115546,0.244254784482295,0.714139055761686,-28.5860944238314
"Kuskokwim",3,5519,0.212451843524977,0.244254784482295,0.869796036852562,-13.0203963147438
"Kuskokwim",3,5560,0.262294979210693,0.244254784482295,1.07385810176302,7.38581017630202
