tributary_group_id,year,trib_total_assignment_rescale,trib_total_assignment_individuals,n_reaches,mean_str_order,min_str_order,max_str_order,stream_order
3_13945_4,2017,0.0017350727725506392,229.8902020718695,3,4,4,4,4
3_13965_4,2017,0.002507214920711866,332.19594813463937,7,4,4,4,4
3_13980_4,2017,2.930027024119225e-4,38.82168605877008,1,4,4,4,4
3_13981_4,2017,0.006567141851635969,870.1200267743593,11,4,4,4,4
3_13982_4,2017,9.706614699858142e-4,128.60876212724042,2,4,4,4,4
3_13989_4,2017,0.0010777837140843966,142.8020309813262,2,4,4,4,4
3_13997_4,2017,4.193425286103295e-4,55.56120767075422,1,4,4,4,4
3_14002_4,2017,4.193425286103295e-4,55.56120767075422,1,4,4,4,4
3_14026_4,2017,0.002013945482857103,266.8397206966347,6,4,4,4,4
3_14030_4,2017,0.008169944093581537,1082.4849126231795,15,4,4,4,4
3_14032_4,2017,0.0016489945733082587,218.48518498505103,3,4,4,4,4
3_14033_3,2017,0,0,2,3,3,3,3
3_14035_4,2017,0.0015293160822533861,202.62826363424466,5,4,4,4,4
3_14041_4,2017,0.005819883425610842,771.1112743597342,10,4,4,4,4
3_14045_4,2017,0,0,1,4,4,4,4
3_14050_4,2017,0,0,1,4,4,4,4
3_14055_3,2017,0,0,1,3,3,3,3
3_14061_3,2017,9.825340263692212e-4,130.18182835781633,4,3,3,3,3
3_14063_4,2017,0.0010463540816336276,138.6377304001291,4,4,4,4,4
3_14074_4,2017,2.7255954328408847e-4,36.113049246968586,2,4,4,4,4
3_14076_4,2017,0.005060994725416835,670.561557138829,9,4,4,4,4
3_14087_4,2017,5.988844093769521e-4,79.34978870480865,3,4,4,4,4
3_14113_3,2017,4.6283961835013953e-4,61.32439807292009,1,3,3,3,3
3_14127_4,2017,0.009039082677601033,1197.6422984514265,16,4,4,4,4
3_14134_3,2017,2.1779210902055223e-4,28.856583276787088,1,3,3,3,3
3_14141_4,2017,0.004276418763072202,566.6083804320144,8,4,4,4,4
3_14145_4,2017,0.0035190020972649793,466.25370187922067,7,4,4,4,4
3_14159_3,2017,0,0,3,3,3,3,3
3_14163_3,2017,0.001054709785581753,139.74482775043995,3,3,3,3,3
3_14175_3,2017,3.503847110939375e-4,46.42457268110235,3,3,3,3,3
3_14183_4,2017,0.0016489945733082587,218.48518498505103,4,4,4,4,4
3_14188_4,2017,6.634059068794855e-4,87.89862903790431,1,4,4,4,4
3_14193_4,2017,0.0027732103132661846,367.43927366651644,6,4,4,4,4
3_14195_3,2017,0,0,1,3,3,3,3
3_14199_4,2017,0.009905743117765656,1312.4713401314784,17,4,4,4,4
3_14203_4,2017,0.010770212092757284,1427.010021441969,18,4,4,4,4
