basin,year,fish_id,threshold,retained_km,basin_km,retained_pct
Kuskokwim,2017,Kuskokwim_2017_0143,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0144,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0145,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0146,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0147,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0148,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0149,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0150,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0151,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0152,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0153,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0154,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0155,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0156,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0157,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0158,0,13025.94577128066,17384.97530681032,74.92645540990748
Kuskokwim,2017,Kuskokwim_2017_0159,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0160,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0161,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0162,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0163,0,13053.2503189581,17384.97530681032,75.08351371568916
Kuskokwim,2017,Kuskokwim_2017_0164,0,13053.2503189581,17384.97530681032,75.08351371568916
