fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian
2021_yk_466,802.6726729,920.3856454,0.710669748,0.002179647,117.7129725,466,0021-07-01,182
2021_yk_468,643.0536555,882.5824852,0.706257611,0.001369187,239.5288297,468,0021-07-01,182
2021_yk_469_R1,631.1017572,839.1363954,0.710478801,0.005364256,208.0346382,469,0021-07-01,182
2021_yk_469a,498.8810773,776.8891858,0.710236672,0.003124957,278.0081085,469,0021-07-01,182
2021_yk_472,702.4701988,929.0426966,0.709916492,0.00345012,226.5724978,472,0021-07-01,182
2021_yk_473,547.7977116,816.2422658,0.707523073,0.001173579,268.4445542,473,0021-07-01,182
2021_yk_474,834.3053224,1017.614556,0.706918343,0.002556965,183.3092332,474,0021-07-02,183
2021_yk_476,607.4518325,717.61459,0.708546487,0.001748878,110.1627575,476,0021-07-02,183
2021_yk_476a,323.8993017,495.4897053,0.709005681,9.89E-04,171.5904036,476,0021-07-02,183
2021_yk_477,547.7834837,769.1187833,0.707672864,0.001079872,221.3352996,477,0021-07-02,183
2021_yk_478,477.0018404,656.6918836,0.721544804,0.002015251,179.6900432,478,0021-07-02,183
2021_yk_479,497.4562254,713.9684501,0.707346015,0.001122334,216.5122247,479,0021-07-03,184
2021_yk_480,458.0447044,640.6934583,0.706546394,0.001631168,182.6487539,480,0021-07-03,184
2021_yk_482,507.7988325,729.8355129,0.710700005,0.005138678,222.0366805,482,0021-07-03,184
2021_yk_485,760.5588434,844.644145,0.718340408,0.002682089,84.08530166,485,0021-07-04,185
2021_yk_487_R1,788.1600559,950.199781,0.710015321,0.002875576,162.039725,487,0021-07-04,185
2021_yk_488,732.7135594,839.8591378,0.713360744,0.003618233,107.1455784,488,0021-07-04,185
2021_yk_489,735.4523286,958.0404401,0.710103491,0.003571361,222.5881115,489,0021-07-04,185
2021_yk_490,579.6325566,752.1542473,0.707286995,0.00124116,172.5216908,490,0021-07-04,185
2021_yk_495,552.0793127,762.451984,0.707107905,0.002032237,210.3726713,495,0021-07-04,185
2021_yk_496,632.6869727,917.9818351,0.707378878,0.001064524,285.2948625,496,0021-07-04,185
2021_yk_497,798.9496663,974.4117259,0.710015273,0.002506574,175.4620596,497,0021-07-04,185
2021_yk_499,619.9970877,807.317519,0.714650719,0.003101414,187.3204313,499,0021-07-05,186
2021_yk_503,562.1041076,754.9589408,0.713296649,0.002064864,192.8548332,503,0021-07-05,186
2021_yk_506,470.4397756,728.3768575,0.707657578,6.90E-04,257.9370819,506,0021-07-05,186
2021_yk_507,761.2889994,923.4435295,0.710264795,0.001662468,162.15453,507,0021-07-05,186
2021_yk_508,495.0036373,717.5139695,0.715808812,0.001826308,222.5103323,508,0021-07-05,186
2021_yk_509,611.6911341,880.7014999,0.707013368,0.001083374,269.0103658,509,0021-07-05,186
2021_yk_510,494.9457408,696.893087,0.710117989,0.001723307,201.9473462,510,0021-07-05,186
2021_yk_511_R1,947.3311339,1131.958863,0.709566221,0.001829926,184.6277293,511,0021-07-05,186
2021_yk_514_R1,689.5532351,874.9389783,0.707080533,0.001373508,185.3857432,514,0021-07-06,187
2021_yk_515,540.0887204,746.6092517,0.709720012,0.001842818,206.5205313,515,0021-07-07,188
2021_yk_518_R1,920.4465297,1180.417624,0.711485196,0.002499081,259.9710944,518,0021-07-08,189
2021_yk_521,618.6556309,782.8112914,0.7060032,0.001137245,164.1556605,521,0021-07-08,189
2021_yk_522,658.2180967,848.597076,0.706992009,0.001330137,190.3789794,522,0021-07-08,189
2021_yk_523,634.665035,932.0488994,0.707007055,0.001608674,297.3838644,523,0021-07-08,189
2021_yk_525_R1,586.7955105,813.8495999,0.707220197,0.001399234,227.0540894,525,0021-07-08,189
2021_yk_526,528.3223692,756.3197667,0.707053322,0.002655912,227.9973975,526,0021-07-08,189
2021_yk_527,730.210488,941.9205331,0.708542267,0.003847422,211.7100452,527,0021-07-09,190
2021_yk_530,578.3135729,823.9578459,0.707505299,0.002776634,245.644273,530,0021-07-09,190
2021_yk_531,653.6876567,852.3682075,0.708460878,0.004810064,198.6805509,531,0021-07-09,190
2021_yk_534,580.7123844,802.0894862,0.707586675,0.001381435,221.3771018,534,0021-07-10,191
2021_yk_535,934.4509882,1157.163834,0.710319918,0.00373126,222.7128455,535,0021-07-10,191
2021_yk_540_R1,657.0158527,904.8806464,0.706182339,0.001880753,247.8647937,540,0021-07-10,191
