reachbase,original_reachid,stream_order,upstream_reachid,tributary_group_id
4,20056,4,20034,4_20056_4
4,20077,4,20077,4_20077_4
4,20090,4,20094,4_20090_4
4,20109,4,20161,4_20109_4
4,20109,4,20278,4_20109_4
4,20114,4,20114,4_20114_4
4,20164,4,20164,4_20164_4
4,20205,4,20205,4_20205_4
4,20247,4,20309,4_20247_4
4,20249,4,20265,4_20249_4
4,20254,4,20254,4_20254_4
4,20258,4,20258,4_20258_4
4,20264,4,20264,4_20264_4
4,20269,4,20233,4_20269_4
4,20273,4,20326,4_20273_4
4,20273,4,20379,4_20273_4
4,20273,4,20412,4_20273_4
4,20273,4,20433,4_20273_4
4,20273,4,20468,4_20273_4
4,20317,4,20317,4_20317_4
4,20320,4,20320,4_20320_4
4,20324,4,20324,4_20324_4
4,20338,4,20358,4_20338_4
4,20338,4,20353,4_20338_4
4,20338,4,20446,4_20338_4
4,20357,4,20357,4_20357_4
4,20360,4,20360,4_20360_4
4,20362,4,20430,4_20362_4
4,20362,4,20501,4_20362_4
4,20362,4,20546,4_20362_4
4,20362,4,20649,4_20362_4
4,20362,4,20628,4_20362_4
4,20368,4,20368,4_20368_4
4,20419,4,20452,4_20419_4
4,20425,4,20425,4_20425_4
4,20567,4,20567,4_20567_4
4,20752,4,20733,4_20752_4
4,20448,4,20448,4_20448_4
4,20465,4,20485,4_20465_4
4,20465,4,20562,4_20465_4
4,20469,4,20502,4_20469_4
4,20469,4,20572,4_20469_4
4,20469,4,20664,4_20469_4
4,20469,4,20666,4_20469_4
4,20469,4,20702,4_20469_4
4,20470,4,20470,4_20470_4
4,20503,4,20503,4_20503_4
4,20531,4,20531,4_20531_4
4,20542,4,20542,4_20542_4
4,20595,4,20610,4_20595_4
4,20614,4,20596,4_20614_4
4,20630,4,20630,4_20630_4
4,20635,4,20634,4_20635_4
4,20646,4,20646,4_20646_4
4,20683,4,20699,4_20683_4
4,20683,4,20727,4_20683_4
4,20715,4,20779,4_20715_4
4,20715,4,20820,4_20715_4
4,20715,4,20831,4_20715_4
4,20715,4,20847,4_20715_4
4,20720,4,20720,4_20720_4
4,20740,4,20777,4_20740_4
4,20740,4,20825,4_20740_4
4,20740,4,20829,4_20740_4
4,20747,4,20747,4_20747_4
4,20758,4,20725,4_20758_4
4,20758,4,20746,4_20758_4
4,20786,4,20786,4_20786_4
4,20802,4,20802,4_20802_4
4,20804,4,20813,4_20804_4
4,20804,4,20816,4_20804_4
4,20804,4,20837,4_20804_4
4,20804,4,20867,4_20804_4
4,20804,4,20865,4_20804_4
4,20804,4,20854,4_20804_4
4,20804,4,20885,4_20804_4
4,20807,4,20807,4_20807_4
4,20811,4,20864,4_20811_4
4,20811,4,20902,4_20811_4
4,20811,4,20903,4_20811_4
4,20811,4,20929,4_20811_4
4,20821,4,20858,4_20821_4
4,20853,4,20919,4_20853_4
4,20853,4,20949,4_20853_4
4,20853,4,20957,4_20853_4
4,20853,4,20968,4_20853_4
4,20853,4,20978,4_20853_4
4,20853,4,20982,4_20853_4
4,20853,4,20984,4_20853_4
4,20853,4,20987,4_20853_4
4,20861,4,20861,4_20861_4
4,20866,4,20866,4_20866_4
4,20918,4,20918,4_20918_4
4,20932,4,20932,4_20932_4
4,20952,4,20952,4_20952_4
4,20976,4,20976,4_20976_4
4,20974,4,20974,4_20974_4
5,1165,5,1171,5_1165_5
5,1360,5,1438,5_1360_5
5,1360,5,1510,5_1360_5
